index,title,language
417,Number of primary school teachers trained on PSS (disaggregated by sex).,Language.ENGLISH
418,"Number of Case workers trained on Case Management (IA CM SOPs, coaching and supervision and ISP) (disaggregated by sex)",Language.ENGLISH
419,of newly recruited teachers/volunteers (Primary and ALP) provided with induction training on EiE and basic teaching methodologies,Language.ENGLISH
420,of School Management Committee (SMC) trained,Language.ENGLISH
421,Number of adults reached with awareness raising sessions on child protection and PSS (disaggregated by sex).,Language.ENGLISH
422,Number of facilitators trained on the facilitator’s manual and mentored and on adolescents’ kit by roving PSS experts (disaggregated by sex).,Language.ENGLISH
423,"Number of UASC identified, registered and documented using the standard IA case management forms (disaggregated by age, sex and separation status).",Language.ENGLISH
424,"Number of UASC re-unified with their primary caregiver or preferred guardian (disaggregated by age, sex and separation status",Language.ENGLISH
425,Children accessing psychosocial support services in Mundri East,Language.ENGLISH
426,children and adolescent who receive educational learning materials sufficient for the duration of the program cycle,Language.ENGLISH
427,"of children, caregivers and leaders participating in C4D WASH activities with increased knowledge on appropriate handwashing, key rights and information",Language.ENGLISH
428,of pupils/ students who are actively participating in the C4D WASH activities and who promote positive WASH practices,Language.ENGLISH
429,of children (boys and girls) with access to child friendly latrines,Language.ENGLISH
430,"No of girls and boys, including students with disabilities that report improved access to school water and sanitation facilities",Language.ENGLISH
431,of school management committees with O&M plans,Language.ENGLISH
432,"of pupils /students, caregivers and leaders participating in C4D WASH activities, who know where and how to access relevant services",Language.ENGLISH
433,# of community cadres able to facilitate discussion and dialogue which comprehensively addresses context relevant SGBV and HPs within their communities.,Language.ENGLISH
434,"# of girls, women, boys and men reached by campaigns challenging SGBV,  harmful social norms and gender stereotyping disaggregated by sex, age and disability",Language.ENGLISH
435,"#  of young women and girls, young men and boys who participate in and out of school programmes that promote gender-equitable norms, attitudes and behaviours and exercise of rights, including reproductive rights",Language.ENGLISH
436,No. of children (7-14 years old) enrolled  in basic education programme,Language.ENGLISH
437,No. of host community teachers continuously trained and deployed,Language.ENGLISH
438,No. of children (4-6 years old) enrolled in the early learning education programme,Language.ENGLISH
439,No. of Burmese Language Instructors continuously trained and deployed,Language.ENGLISH
440,of children provided with individual (one-per-child) education/early learning materials through UNICEF-supported programmes,Language.ENGLISH
441,of learners able to answer at least 1 out of 3 Listening Comprehension questions in their respective local language,Language.ENGLISH
442,"of children, adolescents, caregivers and leaders participating in program activities who know where/how to access relevant services",Language.ENGLISH
443,of individuals registered to receive winter kits (age/gender),Language.ENGLISH
444,of girls and boys provided with winter clothing kits (age/gender),Language.ENGLISH
445,of individuals registered to receive winter kits (age/gender).,Language.ENGLISH
446,of adolescents who have been involved in or led civic engagement initiatives in the last twelve months.,Language.ENGLISH
447,Number of school aged children (girls & boys) accessing formal and non-formal education services (remedial & catch-up classes),Language.ENGLISH
448,# of teachers and education personnel trained on child centred and protective pedagogy,Language.ENGLISH
449,# of individuals screened by Cesvi   Vulnerability Assessment,Language.ENGLISH
450,# boys and girls at-risk or affected by abuse or violence provided with integrated case management services,Language.ENGLISH
451,Number of school aged children (girls & boys) provided with essential learning materials/school supplies,Language.ENGLISH
452,Number of adolescents and youth accessing non-formal education services (literacy programmes),Language.ENGLISH
453,Number of teachers and education personnel trained on child centred and protective pedagogy,Language.ENGLISH
454,Number of children receiving recreational activities in schools and learning spaces,Language.ENGLISH
455,"# boys and girls are at-risk or affected by abuse or violence, are supported to access services according to their needs (for example: medical care ,education services, transportation cost )",Language.ENGLISH
456,"# of girls, boys, women and men who participated in community-based activities promoting social cohesion (Child rights day, National days, recreational activities)",Language.ENGLISH
457,"#  CP staff from Cesvi and others service providers and/or institutions trained on CP approaches, methodologies, standards and monitoring",Language.ENGLISH
458,Number of school aged children (girls & boys) with disabilities accessing formal/non-formal education services (remedial & catch-up classes),Language.ENGLISH
459,Number of pre-school age children (girls & boys) accessing pre-sechool services,Language.ENGLISH
460,"Number of school aged children (girls & boys) with disabilities provided with essential learning materials/school supplies (School in a bag kits, recreational kits, ECD kits)",Language.ENGLISH
461,Number of pre-school age children (girls & boys) provided with essential learning materials/school supplies (ECD kits),Language.ENGLISH
462,"Number of women and girls (adolescent girls between 14-17 years) participating in structured group psychosocial activities at the safe spaces. Disaggregated by age, nationality and gender.",Language.ENGLISH
463,"Number of boys and girls participating at PSS group activities including case management, disaggregated by age, nationality and gender.",Language.ENGLISH
464,"Number of men, women, boys and girls reached with key messages on GBV including available GBV referral pathways, Disaggregated by age, nationality and gender.",Language.ENGLISH
465,"Number of givernment and NGO service providers supported with capacity building on GBV prevention and response, disaggregated by age, nationality and gender.",Language.ENGLISH
466,"Number of agency staff trained on GBV mainstreaming. disaggregated by age, nationality and gender",Language.ENGLISH
467,"Number of girls and boys benefiting from psychosocial support (disaggregated by age, nationality and gender)",Language.ENGLISH
468,"Girls and boys referred for specialized Psychosocial support (disaggregated by age, nationality and gender)",Language.ENGLISH
469,Social workers and child protection actors trained on providing support to vulnerable boys and girls (including boys and girls with disabilities and special needs) during emergencies (disaggregated by nationality and age and gender),Language.ENGLISH
470,"of Focal Group discussions with women and young girls conducted ( Disaggregated by nationality, age and gender)",Language.ENGLISH
471,"Number of focal group discussions with women and young girls conducted (disaggregated by nationality, age and gender)",Language.ENGLISH
472,"Women and men, parents, caregivers, and community memebers benefiting from awareness sessions on how to deal with children during conflict and emergencies (disaggregated by nationality, age and gender)",Language.ENGLISH
473,Number of School-aged children (boys and girls) accessing formal/non-formal education services,Language.ENGLISH
474,Persons with disabilities have access to information and have increased knowledge on Ebola Virus Disease and prevention's measures,Language.ENGLISH
475,# of local theater actors trained,Language.ENGLISH
476,# of people directly reached by key messages through theater performances,Language.ENGLISH
477,Number of school aged children (girls & boys) accessing rehabilitated and repaired educational facilities,Language.ENGLISH
478,"# of children (girls and boys) received psychosocial support and recreational activities in schools, community centers or child-friendly spaces",Language.ENGLISH
479,"Number of individual community  members trained on protection approaches,  norms, and humanitarian  and human rights laws",Language.ENGLISH
480,Number of girls and boys participating in structured and sustained psychosocial support group activities.,Language.ENGLISH
481,Number of children girls and boys received psychosocial support and recreational activities in schools community centers or child friendly spaces,Language.ENGLISH
482,Number of Children girls and boys supported with specialized child protection services,Language.ENGLISH
483,Number of individuals reached by awareness raising activities Communicating with Communities,Language.ENGLISH
484,"Number of social workers and child protection actors trained on providing support to vulnerable boys and girls (including boys and girls with disabilities and special needs) during emergencies (disaggregated by nationality, age and gender)",Language.ENGLISH
485,Number of actors males and females from service providers and/or institutions trained on CP approaches,Language.ENGLISH
486,Number of individuals reached by awareness raising activities (Communicating with Communities),Language.ENGLISH
487,"Number of children (girls and boys) received psychosocial support and recreational activities in schools, community centers or child-friendly spaces",Language.ENGLISH
488,"Number of boys and girls, as well as their caregivers receiving Mine Risk Education",Language.ENGLISH
489,Number of children (Girls and Boys) reached by Mine Risk Education activities,Language.ENGLISH
490,Number of community volunteers trained to deliver Risk Education,Language.ENGLISH
491,Percentage of identified child victims/survivors referred to victim Assistance and other existing protection services providers,Language.ENGLISH
492,Number of Teachers and education personnel trained on child centered and protective pedagogy,Language.ENGLISH
493,"Number of key government officials [LAD lawyers] trained on human rights and gender-equitable norms, attitudes and behaviours towards women and girls, including for those groups facing intersecting and multiple forms of discrimination.",Language.ENGLISH
494,"Of children enrolled in pre-primary education by sex, disability and refugee status in ECD centres in the targeted districts",Language.ENGLISH
495,of targeted children who experienced or are at risk of experiencing any form of violence and received at least 1 kind of multi-sectoral support,Language.ENGLISH
496,"of mothers, fathers and caregivers reached through parenting programs",Language.ENGLISH
497,Number of children accessing mental health and psycosocial support,Language.ENGLISH
498,Percentage of children and caregivers reporting case management successfully met their needs,Language.ENGLISH
499,Percentage of trainees demonstrating increased knowledge on key child protection topics,Language.ENGLISH
500,Number of children referred to specialized child protection services,Language.ENGLISH
501,Number of children benefitting from recreational materials,Language.ENGLISH
502,Percentage of children in remedial and catch up classes with improved academic performance,Language.ENGLISH
503,"20,000 children and women accessing GBV risk mitigation, prevention or response interventions  (M/F)",Language.ENGLISH
504,Number of children referred to specialized child protection services.,Language.ENGLISH
505,"Number of children and women accessing GBV risk mitigation, prevention or response interventions  (M/F)",Language.ENGLISH
506,Number of children accessing formal'non formal education services,Language.ENGLISH
507,Number of children who participate in vocational training and life skills sessions,Language.ENGLISH
508,Number of children accessing mental health and psychosocial support services,Language.ENGLISH
509,Percentage of children demonstrating improved psychosocial wellbeing subsequent to CRC activities,Language.ENGLISH
510,Number of school-aged children provided with essential learning materials/school supplies,Language.ENGLISH
511,Number of actors from service providers and/or institutions trained on CP approaches (M/F),Language.ENGLISH
512,Percentage of parents and caregivers in awareness-raising sessions know key child protection principles,Language.ENGLISH
513,Number of learners enrolled – Accelerated Learning Programme (ALP),Language.ENGLISH
514,Number of learners enrolled in pastoralist education centers,Language.ENGLISH
515,Number of primary teacher receiving incentives from UNICEF,Language.ENGLISH
516,Number of ALP teacher receiving incentives from UNICEF,Language.ENGLISH
517,Number of School Inspectors/ Supervisors trained on supportive supervision and monitoring of quality education,Language.ENGLISH
518,Number of newly recruited teachers/volunteers (Primary and ALP) provided with induction training on EiE and basic teaching methodologies,Language.ENGLISH
519,Number of teachers(primary and secondary)  trained on providing in-school psychosocial support to children and adolescents in schools,Language.ENGLISH
520,Number of primary or secondary school teachers trained on lifeskills and peace building,Language.ENGLISH
521,"# of PTA members trained on roles and responsibilities, and development of school development plan",Language.ENGLISH
522,"of SMC members trained on roles and responsibilities, school governance and implementation of school development plan",Language.ENGLISH
523,Number of youth and adolescent reached through life skills and peace building activities,Language.ENGLISH
524,of learner’s transition from AEP to formal education,Language.ENGLISH
525,of teachers trained on formal and non-formal Continuous Professional Development programmes (CPD trainings aimed to support teacher professional development and strengthen the quality of in-classroom teaching and learning) *in Emergency settings,Language.ENGLISH
526,"of trained professionals in contact with children trained to prevent, identify, report and respond to child protection cases as per existing laws and policies",Language.ENGLISH
527,"of children accessing non-formal education (including non-formal Vocational Training /apprenticeship, Life skills  & Accelerated Education)",Language.ENGLISH
528,of Out of school adolescents (10-19) in the reporting year accessing formal or non-formal education with support of UNICEF,Language.ENGLISH
529,Percentage of UNICEF-targeted population in humanitarian situations reached with messages on appropriate hygiene practices,Language.ENGLISH
530,Percentage of UNICEF targeted population in humanitarian situations accessing appropriate sanitation facilities and living in environments free of open defecation,Language.ENGLISH
531,Number of children and adults reached by awareness raising activities (Communicating with Communities),Language.ENGLISH
532,Number of school aged children (girls & boys) accessing formal/non-formal education services,Language.ENGLISH
533,Number of children participating in structured sustained psychosocial activities,Language.ENGLISH
534,Number of adolescents and youth accessing nonformal education services (literacy programmes),Language.ENGLISH
535,Number of school aged children (girls & boys) accessing formal/non-formal education,Language.ENGLISH
536,Number of school aged children (girls & boys) accessing rehabilitated and repaired educational facilities/prefabricated classrooms,Language.ENGLISH
537,Number of children receiving students kits (formal and Non formal),Language.ENGLISH
538,Number of children who are integrated in formal education/other learning opprotunities by the end of the NFE Intervention,Language.ENGLISH
539,Number of adolescent girls participating in club activities,Language.ENGLISH
540,Number of OOSC enrolled in non-formal Education (basic litracy/Numeracy instruction and PSS),Language.ENGLISH
541,Number of learners enrolled in non-formal education in SSCs  (Basic literacy/Numeracy instruction and PSS),Language.ENGLISH
542,Number of children receiving psychosocial/recreational activities in schools and learning spaces,Language.ENGLISH
543,"Number of education actors(f/m) trained on policy, planning, data collection, sector coordination and INEE MS",Language.ENGLISH
544,Number of teachers trained in improved teaching methods and NRC better learning programme (PSS),Language.ENGLISH
545,Number of non-teaching education professionals trained (Headteachers and/or authorities) on relevant topics,Language.ENGLISH
546,Number of girls and boys refered to health or child protection actors,Language.ENGLISH
547,Number of school aged children (girls and boys) provided with essential learning materials/school supplies,Language.ENGLISH
548,Number of teachers and education personnel trained on child centered and protective pedagogy,Language.ENGLISH
549,"Number of caregivers participating in programs on child wellbeing, development and parenting skills",Language.ENGLISH
550,Number of boys and girls at-risk or affected by abuse or violence provided with integrated case management services,Language.ENGLISH
551,"Number of girls, boys, women and men who participated in community-based activities promoting social cohesion (Child rights day, National days, Recreational activities)",Language.ENGLISH
552,Number of school aged children (girls and boys) accessing formal/non-formal education services,Language.ENGLISH
553,Number of individuals screened by CESVI vulnerability assessment,Language.ENGLISH
554,"Number of women and girls (adolescent girls between 14-17) participating  in structured group psychosocial activities at the safe spaces, disaggregated by age, nationality and gender",Language.ENGLISH
555,Number of local child protection stakeholders trained,Language.ENGLISH
556,Percentage of children demonstrating improved psycho-social wellbeing subsequent to CRC activities,Language.ENGLISH
557,Number of children who received specialized case management services,Language.ENGLISH
558,Number of children having received essential learning materials and supplies,Language.ENGLISH
559,Number of vulnerable households receive cash support for access to education services for children,Language.ENGLISH
560,Number of vulnerable children receive cash support for access to education,Language.ENGLISH
561,Number of girls and boys participating in structured and sustained psychosocial support group activities,Language.ENGLISH
562,"Number of girls and boys at risk or affected by abuse or violence, are supported to access services according to their needs (for example: medical care, education services, transportation costs)",Language.ENGLISH
563,"Number of Child Protection staff from CESVI and other service providers and/or institutions trained on child protection approaches, methodologies, standards and monitoring",Language.ENGLISH
564,Number of children (girls and boys) who participate in extra curricula activities in the CRC,Language.ENGLISH
565,Number of children who benefit from the emergency case management fund,Language.ENGLISH
566,Percentage of children and caregivers reporting case management services successfully met their needs,Language.ENGLISH
567,Number of children who participate in remedial and catch up classes,Language.ENGLISH
568,Numbers of community members reached through outreach activities,Language.ENGLISH
569,Number of parents and caregivers who participate in the awareness raising sessions,Language.ENGLISH
570,Percentage of parents and caregivers in awareness raisins sessions know key child protection principles,Language.ENGLISH
571,"Number of girls and boy participating in structured, sustained child protection and/or PSS programs",Language.ENGLISH
572,number of women and men participating in structured and sustained and better parenting PSS programs,Language.ENGLISH
573,"Number of women girls boys and men benefitting from CP general awareness raising (including inter-agency information campaigns) (one-off events, non structured community events)",Language.ENGLISH
574,Number of girls and boys identified and referred to more specialized CP services,Language.ENGLISH
575,Number of girls and boys identified and referred to more specialized GBV services,Language.ENGLISH
576,Number of cases actually involved in case management services,Language.ENGLISH
577,Number of cases identified and assessed to be involved in the case management services,Language.ENGLISH
578,Percentage of cases involved in case management closed or transferred,Language.ENGLISH
579,"Number of women, girls, boys and men receiving information about services through baity outreach (disaggregated by education/CP)",Language.ENGLISH
580,"Number of members of community committees (women and men) trained on CP risks, identification and referrals",Language.ENGLISH
581,Number of children and adolescents enrolled in non-formal education services,Language.ENGLISH
582,Percentage of children demonstrating academic progress,Language.ENGLISH
583,Number of adults participating in computer classes,Language.ENGLISH
584,Number of children participating in computer classes,Language.ENGLISH
585,"Number of children, youth and adolescents benefiting from life skills based education (enrollment)",Language.ENGLISH
586,Number of peer educators/interns trained and recruited,Language.ENGLISH
587,Number of young people aged 10-24 active in civic engagement initiatives,Language.ENGLISH
588,Number of paticipants (female and male) from the 7 targeted IPs and authorities trained,Language.ENGLISH
589,Number of school-aged children provided with essential learning materials/school supplies (ADD),Language.ENGLISH
590,"Number of government and NGO service providers supported with capacity building on GBV prevention and response, disaggregated by age, nationality and gender",Language.ENGLISH
591,"Number of agency staff trained on GBV mainstreaming, disaggregated by age, nationality and gender",Language.ENGLISH
592,"Number of boys and girls participating in PSS group activities including case management, disagregated by age, nationality and gender",Language.ENGLISH
593,"Number of women, men, boys and girls reached with key messages on GBV including available GBV referral pathways, disaggregated by age, nationality and gender",Language.ENGLISH
594,Number of school aged children (girls & boys) accessing formal/non-formal education services (Libyans and Arabic Speaking Non-Libyans),Language.ENGLISH
595,Number of school aged children (girls & boys) accessing formal/non-formal education services (Francaphone and Anglophone Non-Libyans),Language.ENGLISH
596,"Number of girls and boys referred for specialized psychosocial support (disaggregaed by age, nationality and gender)",Language.ENGLISH
597,Number of school aged children (girls & boys) provided with essential learning materials/school supplies (Libyans and Arabic Speaking Non-Libyans),Language.ENGLISH
598,Number of Children receiving students kits (formal and Non formal)- (Libyans and Arabic Speaking Non-Libyans),Language.ENGLISH
599,Number of teachers trained in improved teaching methods and NRC better learning programme (PSS) (Libyans and Arabic Speaking Non-Libyans),Language.ENGLISH
600,Number of OOSC enrolled in non-formal Education (Basic literacy/Numeracy instruction and PSS) aimed to bridge them into community schools,Language.ENGLISH
601,"Number of women and men, parents, caregivers, and community members benefiting from awareness sessions on how to deal with children during conflict and emergencies (disaggregated by nationality, age and gender)",Language.ENGLISH
602,Number of PSS/EIE mobile team memebers (persons) trained,Language.ENGLISH
603,Number of Children receiving students kits (Francaphone and Anglophone Non-Libyans),Language.ENGLISH
604,Number of school aged children (girls & boys) provided with essential learning materials/school supplies (Francaphone and Anglophone Non-Libyans),Language.ENGLISH
605,Number of teachers trained in improved teaching methods and NRC better learning programme (PSS) (Francaphone and Anglophone Non-Libyans),Language.ENGLISH
606,"Number of individuals (boys, girls, men, and women) indirectly sensitized with key MRE messages through radio programs and other mass media",Language.ENGLISH
607,Percentage of UASC whose families with missing children whose family links were restored,Language.ENGLISH
608,Number of parents and caregivers benefitting from structured and semi-structured counselling,Language.ENGLISH
609,Percentage of children and caregivers interviewed report safe behaviors,Language.ENGLISH
610,Number of women girls boys and men receiving information through the help desk services,Language.ENGLISH
611,Number of identified cases handled through case management,Language.ENGLISH
612,"number of women, girls, boys and men benefitted at least once from specialized psychological counseling (minimum package provided is 8 hours)",Language.ENGLISH
613,Number of unaccompanied and separated children who have benefitted from a formal UNICEF-supported Best interest assessment (BIA) or best interest determination process (BID),Language.ENGLISH
614,"Number of women, girls, boys and men referred to local clinics for basic health services",Language.ENGLISH
615,number of adolescent girls and women attended and benefitted from established women space,Language.ENGLISH
616,"Number of UASC and families with missing children identified, registered and supported with RFL",Language.ENGLISH
617,Number of boys and girls referred to baity center,Language.ENGLISH
618,Number of women and girls who benefitted from specialised counselling in maternal and antenatal health and children care,Language.ENGLISH
619,Percentage of children and caregivers demonstrating increased knowledge after RE sessions,Language.ENGLISH
620,Number of under five boys and girls screened for acute malnutrition,Language.ENGLISH
621,"# of safety audits on safety concerns for girls, boys and women",Language.ENGLISH
622,"Number of additional people receiving safe water supplies (disaggregated by sex, boys, girls, men, women, disability)",Language.ENGLISH
623,"Number of pupils using safe sanitation facilities at school (disaggregated by sex, boys, girls, men, women, disability)",Language.ENGLISH
624,"Number of School Health Coordinators trained (disaggregated by sex, men, women, disability)",Language.ENGLISH
625,"Number of people reached with hygiene promotion (disaggregated by sex, boys, girls, men, women, disability)",Language.ENGLISH
626,Number of Village Pump Mechanics and operators trained,Language.ENGLISH
627,Number of latrine builders trained,Language.ENGLISH
628,Number of headwork builders trained,Language.ENGLISH
629,"Number of additional people receiving safe water supplies (disaggregated by children (boys/girls): men, women. Disability)",Language.ENGLISH
630,"Number of people using safe  sanitation facilities at school  (disaggregated by children  (boys/girls); men, women,  disability)",Language.ENGLISH
631,"Number of School Health  Coordinators trained  (disaggregated men, women,  disability)",Language.ENGLISH
632,"Number of people reached  with hygiene promotion  (disaggregated by children  (boys/girls); men, women,  disability)",Language.ENGLISH
633,Number of Village Pump  Mechanic trained,Language.ENGLISH
634,"Number of additional people receiving safe water supplies (disaggregated by children (boys/girls); men, women, disability)",Language.ENGLISH
635,"Number of people using safe sanitation facilities at school (disaggregated by children (boys/girls); men, women, disability)",Language.ENGLISH
636,"Number of School Health Coordinators trained (disaggregated men, women, disability)",Language.ENGLISH
637,"Number of people reached with hygiene promotion (disaggregated by children (boys/girls); men, women, disability)",Language.ENGLISH
638,Number of Village Pump Mechanic trained,Language.ENGLISH
639,Number of headwork builders trained/ refreshed,Language.ENGLISH
640,Percentage of UNICEF targeted population in humanitarian situations who access and use safe drinking water,Language.ENGLISH
641,Percentage of UNICEF targeted population in humanitarian situations accessing  appropriate sanitation facilities and living in environments free of open defecation,Language.ENGLISH
642,Transition rate primary to lower secondary,Language.ENGLISH
643,Percentage of targeted population reached with messages on appropriate hygiene practices,Language.ENGLISH
644,Percentage of population in humanitarian situations who access and use safe drinking water,Language.ENGLISH
645,of 4-6 years’ old children enrolled in early learning education,Language.ENGLISH
646,of 7-14 years’ old children enrolled in informal basic education,Language.ENGLISH
647,"of people (disaggregated by gender, disability & age) receiving critical WASH related information for improved hygiene and sanitation practices",Language.ENGLISH
648,"of people (disaggregated by gender, disability & age) improving their access to water through rehabilitation of protected water sources which are now functional",Language.ENGLISH
649,"of people (disaggregated by gender,  age & disability) reached with safe water",Language.ENGLISH
650,"of people (disaggregated by gender, age & disability)  receiving critical WASH related information including PSEA and GBV",Language.ENGLISH
651,"of people (disaggregated by gender, disability & agewith access to safe water",Language.ENGLISH
652,"of people (disaggregated by gender, disability & age) receiving key health and hygiene messages",Language.ENGLISH
653,Percentage of children and caregivers demonstrating increased knowledge after RE sessions % of children and caregivers interviewed report safe behaviors,Language.ENGLISH
654,Number of out of school children (boys and girls) accessing formal or non-formal education with direct support from SC,Language.ENGLISH
655,Percentage out of school children (boys and girls) in humanitarian situations accessing formal or non-formal basic education in the reporting year with direct SC support,Language.ENGLISH
656,"Number of children in humanitarian situations who received subsidies, scholarships, grants, social assistance and/or teaching, learning and recreation materials from SC to attend school. (disaggregated by sex)",Language.ENGLISH
657,"Number of primary school teachers with enhanced knowledge, skills and attitudes to provide quality learning with support from SC.",Language.ENGLISH
658,Number of children in humanitarian situations benefitting from psychosocial support.,Language.ENGLISH
659,Number of  social workers and animators identified and trained on Psychosocial First Aid (PFA) and Psychosocial Support,Language.ENGLISH
660,Number of UASC reunified or placed in alternative care.,Language.ENGLISH
661,Number of adults reached by awareness raising activities (Communicating with Communities),Language.ENGLISH
662,"Number of additional people receiving safe water supplies (disaggregated by sex, age and disability)",Language.ENGLISH
663,"Number of people using safe sanitation facilities at school (disaggregated by children(boys/girls), men, women, disability)",Language.ENGLISH
664,Number of schools with health clubs comprising at least 30% boys membership,Language.ENGLISH
665,"Number of school health coordinators trained disaggregated men, women, disability",Language.ENGLISH
666,"Number of people reached with hygiene promotion (disaggregated by children (boys/girls), men, women, disability",Language.ENGLISH
667,Number of Village Pump mechanics trained,Language.ENGLISH
668,Number of Latrine builders trained,Language.ENGLISH
669,Number of people receiving adequate safe water supplies,Language.ENGLISH
670,Number of schools with health clubs comprising at 30% boys membership,Language.ENGLISH
671,Number of Village Pump Mechanics trained,Language.ENGLISH
672,Number of schools with health  clubs comprising at least 30% boys membership,Language.ENGLISH
673,"Number of School Health teachers trained (disaggregated men, women, disability)",Language.ENGLISH
674,Number of Village Pump Mechanics trained (sex disaggregated,Language.ENGLISH
675,"Number of people using safe sanitation facilities at school (disaggregated by sex, boys, girls, disability)",Language.ENGLISH
676,"Number of people reached with hygiene promotion (disaggregated by sex, boys, girls, disability)",Language.ENGLISH
677,"# of child protection group established, trained and supported",Language.ENGLISH
678,"# of trained Child Protection KMSS staff (incentive and non-incentive) on MHPSS, adolescent engagement, case management, EORE, and MRM on grave violations in armed conflict.",Language.ENGLISH
679,# of children reached with MHPSS through CFS/other safe space,Language.ENGLISH
680,Number of persons consulted (disaggregated by sex/age) while implementing a project,Language.ENGLISH
681,Number of people covered through the implementation of systematic behavior change techniques (RANAS),Language.ENGLISH
682,"Numbe of boys and girls 6-59 months screened, for acute malnutrition by MUAC and Odeama",Language.ENGLISH
683,Number of Rohingya boys and girls aged 6-59 months with SAM newly admitted for treatment to OTPs,Language.ENGLISH
684,Number of boys and girls aged 6-59 months with SAM with medical complications referred to SC for treatment,Language.ENGLISH
685,Number of SAM boys and girls aged 6-59 months followed up on a monthly basis through home visits,Language.ENGLISH
686,Number of children 6-23 months enrolled in the growth monitoring programme (GMP),Language.ENGLISH
687,Number of children 6-23 months attending all GMP visits per quarter,Language.ENGLISH
688,Number of children 24-59 months of age reached with deworming tablet,Language.ENGLISH
689,Number of boys and girls aged 0-6 months screened for acute malnutrition/ vulnerability on monthly basis,Language.ENGLISH
690,Number of boys and girls aged 0-6 months at risk of malnutirtion and newly admitted for treatment in CMAM-I,Language.ENGLISH
691,Number of staff newly trained on CMAM,Language.ENGLISH
692,Number of staff newly trained on IYCF,Language.ENGLISH
693,No. of host community teachers and Burmese Language Instructors receiving monthly refresher trainings,Language.ENGLISH
694,No. of Programme Staff trained on LCFA/GIEP and deployed on Early Learning and basic Education,Language.ENGLISH
695,# of adolescents participating in COC and integrated technical skills training,Language.ENGLISH
696,"% of trained adolescents benefiting from one or more types of livelihood development support (LDS), by type  LDS types: On-the-job training, mentoring support, job placement, enterprise development",Language.ENGLISH
697,% of targeted parents among those reached who demonstrate improved knowledge of positive parenting   Parenting curriculum: Parenting under Pressure; Champions of Child Protection,Language.ENGLISH
698,# of parents and other community members reached through awareness raising sessions and events,Language.ENGLISH
699,"# of targeted women, girls and boys provided with risk mitigation, prevention or response interventions to address gender-based violence",Language.ENGLISH
700,% of stakeholders with increased capacities in adolescent programming,Language.ENGLISH
701,"% of targeted adolescents who demonstrate change in knowledge, attitudes and practices in critical change areas (e.g., violence; gender roles; confidence and influencing skills; gender equality and girls’ rights",Language.ENGLISH
702,# of adolescent empowerment initiatives and events supported,Language.ENGLISH
703,% of identified employers who joined the network to create protective and positive work environment for young employees especially young women,Language.ENGLISH
704,# of children accessing appropriate case management services,Language.ENGLISH
705,% of children with increased knowledge and understanding of child rights and protection,Language.ENGLISH
706,# of professionals working with children receiving Child protection awareness and policy,Language.ENGLISH
707,# of bilateral case management meetings between governments for cross border child protection referral,Language.ENGLISH
708,"of children receiving individual services, support or monitoring",Language.ENGLISH
709,of unaccompanied or separated children registered for support,Language.ENGLISH
710,of children in humanitarian situations registered as unaccompanied or separated who were reunified with families/ caregiver,Language.ENGLISH
711,of children who experience or at risk of experiencing sexual violence and received at least one kind of multi-sectoral support services in humanitarian situations,Language.ENGLISH
712,of children in humanitarian situations benefiting from psy-chosocial support,Language.ENGLISH
713,"# of children and youth (f/m) who regularly access recreational, life skills and psychosocial activities in targeted areas of TP and Myebon Community (disaggregate by activity type).",Language.ENGLISH
714,"# adolescents (f/m) aged 10-19 and parents surveyed who have positively changed knowledge, attitudes and practices related to identified protection concerns after RI’s child protection interventions.",Language.ENGLISH
715,"% of CFS supervisors and animators that are trained on child protection, psychosocial support, PFA and appropriate activities for children.",Language.ENGLISH
716,% of activities run in CFS are structured and age and gender appropriate,Language.ENGLISH
717,Indicator 2.1a: Standard Referral SOP in place 2.1b: Child friendly referral pathway in place,Language.ENGLISH
718,Indicator 2.2: # of referrals of child protection cases received by case workers (disaggregated by source of referral/ statutory/non-statutory caseload),Language.ENGLISH
719,Indicator 2.3: % of targeted children and adolescents (f/m) who know where and how to report CP concerns in targeted areas of TP and Myebon Community.,Language.ENGLISH
720,Indicator 2.4: % of reported child protection cases responded to in a timely and appropriate manner (as per the SOP).,Language.ENGLISH
721,Indicator 2.5: # of monthly supervision sessions for case workers (m/f) *add number of case workers m/f to the annex,Language.ENGLISH
722,Indicator 3.1: # of active CPGs,Language.ENGLISH
723,Indicator 2.6:  % of new cases captured in CPIMS,Language.ENGLISH
724,"of child protection group established, trained and supported",Language.ENGLISH
725,Indicator 3.2: # of safety audits lead by members of CPG,Language.ENGLISH
726,"Indicator 3.3: # of CPG trainings  held (on CoC, PFA, Child Rights, Child Protection referral pathway and SoPs, GBV and related topics)",Language.ENGLISH
727,"of targeted individuals reached through awareness-raising activities including MRE, undertaken by camp-based community groups and members, adolescent and parents’ groups on child protection issues",Language.ENGLISH
728,"of trained Child Protection KBC staff (incentive and non-incentive) on MHPSS, adolescence engagement, case management, MRE, and monitoring & reporting of grave violations in armed conflict.",Language.ENGLISH
729,of children reached with MHPSS through CFS/other safe space.,Language.ENGLISH
730,of adolescents (11-17) benefitted from child protection programme and involved in preventing and responding to abuse and violence against adolescent and children,Language.ENGLISH
731,of displaced children and victim survivors of grave violations  received case management services (Disaggregated also by type of case).,Language.ENGLISH
